kB,reclen,write,rewrite,read,reread,randomread,randomwrite,bkwdread,recordrewrite,strideread,fwrite,frewrite,fread,freread,version,build,cachesize_kB,cachelinesize_kB,file_stride,id
1024,256,1245710,3414650,17331995,6402699,11645609,3970183,8610501,7420395,23240448,2934110,3668386,11773301,12313351,3.489,linux-AMD64,1024,32,17,iozone-100.out
1024,512,1221964,2333199,7883484,7208671,18608584,5226256,11645609,5251818,12639479,2461573,5071963,23240448,13142265,3.489,linux-AMD64,1024,32,17,iozone-100.out
1024,1024,1244266,2950233,5821271,25594883,24998980,5529011,12208350,3643490,12790037,3094790,2960401,12790037,19020633,3.489,linux-AMD64,1024,32,17,iozone-100.out
2048,4,727787,1494732,5611381,4521480,4643695,1955900,3140967,1782585,4562305,2023634,1291174,2892423,4178378,3.489,linux-AMD64,1024,32,17,iozone-100.out
2048,8,790765,1750259,4751580,5640860,7165410,2872113,4274012,3922692,7969835,3030166,1674514,5131978,9441504,3.489,linux-AMD64,1024,32,17,iozone-100.out
2048,16,1089428,2406949,7470770,6440169,11966935,3857514,6303124,5521212,12050878,3843705,2047755,7231767,13660713,3.489,linux-AMD64,1024,32,17,iozone-100.out
2048,32,1179643,2525852,9708272,8903279,15623582,4720248,8431376,6967792,15510737,4572018,2446713,9349021,15883587,3.489,linux-AMD64,1024,32,17,iozone-100.out
2048,64,1218982,2832339,10889797,9441504,17681831,5197183,10192069,5868220,19531203,3669648,2772014,10959265,16653431,3.489,linux-AMD64,1024,32,17,iozone-100.out
2048,128,1252577,2781889,11380325,5735012,19311656,5359311,11187641,8190205,23228237,2925920,2925920,11835033,11966935,3.489,linux-AMD64,1024,32,17,iozone-100.out
2048,256,889245,1926510,11983630,9483197,20658530,5144271,11517657,7789164,22979678,2998435,2976615,12204980,12488897,3.489,linux-AMD64,1024,32,17,iozone-100.out
2048,512,1251118,3024831,9887060,6498636,17084004,5517666,12204980,7754008,12654482,5345969,3250308,12635867,13038646,3.489,linux-AMD64,1024,32,17,iozone-100.out
2048,1024,1034831,3060395,8067138,9472740,23807646,5644567,12580349,6670210,13038646,3436240,4934459,16653431,19139540,3.489,linux-AMD64,1024,32,17,iozone-100.out
2048,2048,936865,2635106,5475461,20658530,22796721,5290001,12118884,5095447,13038646,5172149,3003677,13038646,23807646,3.489,linux-AMD64,1024,32,17,iozone-100.out
4096,4,672459,1591346,3872125,4501111,4696769,1977696,2812772,2445252,4628439,2099508,1731875,2996764,5535098,3.489,linux-AMD64,1024,32,17,iozone-100.out
4096,8,715595,2381526,4357270,6216019,7921350,2788122,4183268,3930595,7486415,2805423,2119975,4812550,9566663,3.489,linux-AMD64,1024,32,17,iozone-100.out
4096,16,1087966,2807257,7380284,7921350,11439475,3853020,6291135,5512011,11768599,3897601,2769693,5389246,11866142,3.489,linux-AMD64,1024,32,17,iozone-100.out
4096,32,1182469,3290024,9801354,9105266,15219509,4675041,7756829,6967243,15635038,4638436,2696232,9188050,13392417,3.489,linux-AMD64,1024,32,17,iozone-100.out
4096,64,1231902,3503374,8829180,7012747,17063738,5014840,10394367,8158335,10375534,5133213,3897601,8770583,12803544,3.489,linux-AMD64,1024,32,17,iozone-100.out
4096,128,1230402,3007255,11570449,6793669,19616073,5069594,11439475,8426437,21453230,5319164,3084464,12117223,13561566,3.489,linux-AMD64,1024,32,17,iozone-100.out
4096,256,1274394,3172758,11833449,9868918,21779595,5468151,12015527,8324363,23540333,5312585,2931815,8752710,13572279,3.489,linux-AMD64,1024,32,17,iozone-100.out
4096,512,1174627,4157956,7802627,9943171,21669709,5558378,13217259,7261741,12794009,4275933,3349029,11311433,22881911,3.489,linux-AMD64,1024,32,17,iozone-100.out
4096,1024,1274867,3743865,8925508,12194633,23412013,5542240,12958059,7831080,12880338,5019235,3398719,15749706,15233004,3.489,linux-AMD64,1024,32,17,iozone-100.out
4096,2048,1184834,3336022,7408930,14177082,24690613,4654774,11736440,6638778,13126371,4780411,5250883,12958059,25123904,3.489,linux-AMD64,1024,32,17,iozone-100.out
4096,4096,1238920,4031124,6024207,23159527,24101756,5581856,12441916,5649775,12343583,5418140,3362795,8770583,16380411,3.489,linux-AMD64,1024,32,17,iozone-100.out
8192,4,708465,1717831,3944043,3803462,3785860,1779393,3350598,2443132,3462355,2001988,1721705,3795898,4968291,3.489,linux-AMD64,1024,32,17,iozone-100.out
8192,8,869628,2494571,5805180,5721087,7453619,2864312,4943985,3899284,7427838,2473559,2168380,4437634,7256842,3.489,linux-AMD64,1024,32,17,iozone-100.out
