kB,reclen,write,rewrite,read,reread,randomread,randomwrite,bkwdread,recordrewrite,strideread,fwrite,frewrite,fread,freread,version,build,cachesize_kB,cachelinesize_kB,file_stride,id
1024,256,1378445,5751117,24998980,24430194,23240448,5991815,22748081,8061038,23754601,6963241,7257394,23240448,24430194,3.489,linux-AMD64,1024,32,17,iozone-001.out
1024,512,1374914,6025439,24998980,24998980,23886714,5720477,23754601,6863100,24430194,4741598,8840915,25594883,24998980,3.489,linux-AMD64,1024,32,17,iozone-001.out
1024,1024,1333507,5821271,26219889,26219889,26219889,6025439,23754601,5917516,26219889,6128613,5991815,24998980,26219889,3.489,linux-AMD64,1024,32,17,iozone-001.out
2048,4,782838,2290767,5852228,5820505,4741090,2076967,4623699,2540795,4796687,2190300,2202092,5685664,5644567,3.489,linux-AMD64,1024,32,17,iozone-001.out
2048,8,1014422,3329682,9841749,9887060,8292998,3136379,8067138,4038890,8292998,3210223,3221057,9610516,9621281,3.489,linux-AMD64,1024,32,17,iozone-001.out
2048,16,1170321,4293237,14226322,14202800,12416686,4128177,12187663,5800851,12187663,4120256,4146110,12257227,13926483,3.489,linux-AMD64,1024,32,17,iozone-001.out
2048,32,1276781,5044577,18763275,18641120,16653431,4875642,16653431,7368238,17186548,4911886,4911886,18284015,18129656,3.489,linux-AMD64,1024,32,17,iozone-001.out
2048,64,1329133,5564129,21812621,21812621,20510548,5517666,14713687,6543188,20268568,5420181,5492967,21378329,21325256,3.489,linux-AMD64,1024,32,17,iozone-001.out
2048,128,1345582,5820505,24074544,24074544,22498183,5611381,22036452,8903279,25966707,5868220,5836323,23228237,22979678,3.489,linux-AMD64,1024,32,17,iozone-001.out
2048,256,1363523,5884299,24626703,24697509,23482233,5765808,23041317,8608824,24697509,6280083,6284678,23807646,24697509,3.489,linux-AMD64,1024,32,17,iozone-001.out
2048,512,1374432,5937172,25278959,25278959,24626703,5991003,24074544,8221561,24416701,6363830,6401772,24984852,24626703,3.489,linux-AMD64,1024,32,17,iozone-001.out
2048,1024,1382840,5991003,25580074,25966707,24912391,6003564,24416701,7311791,25656476,4772701,9349021,25278959,24984852,3.489,linux-AMD64,1024,32,17,iozone-001.out
2048,2048,1331606,5933071,24984852,25888448,25888448,6058611,25580074,6041567,20510548,5884299,6092991,25656476,25278959,3.489,linux-AMD64,1024,32,17,iozone-001.out
4096,4,786775,2272828,5826043,5728903,4756587,2101563,4643451,2542602,4756587,2192762,2196126,5649775,5666546,3.489,linux-AMD64,1024,32,17,iozone-001.out
4096,8,939673,3313502,9868918,9679859,8209013,3143154,8077780,4048222,8209013,3243439,3237937,9503161,9508420,3.489,linux-AMD64,1024,32,17,iozone-001.out
4096,16,1178333,4096486,14177082,13086376,12229356,4175134,12007129,5794602,12379160,4162994,4162994,13834587,13702178,3.489,linux-AMD64,1024,32,17,iozone-001.out
4096,32,1276477,5113352,18883009,17825033,16780400,5000244,16846218,7392988,16715094,4922872,4922872,18456987,18125940,3.489,linux-AMD64,1024,32,17,iozone-001.out
4096,64,1334171,5640500,21918530,21320113,20074497,5580043,20287852,8569343,20287852,5424983,5433562,21426474,21110529,3.489,linux-AMD64,1024,32,17,iozone-001.out
4096,128,1360371,5696610,23933871,23967260,22881911,5792648,22610871,9144037,22881911,5681538,5679660,23540333,23967260,3.489,linux-AMD64,1024,32,17,iozone-001.out
4096,256,1374960,5969780,24375326,23702723,23035315,5969780,22259318,8883968,25123904,5918366,5944991,23933871,24409960,3.489,linux-AMD64,1024,32,17,iozone-001.out
4096,512,1379598,6049663,25123904,24237769,24101756,6041154,24237769,8603675,24833373,5565581,5618365,24797528,25123904,3.489,linux-AMD64,1024,32,17,iozone-001.out
