kB,reclen,write,rewrite,read,reread,randomread,randomwrite,bkwdread,recordrewrite,strideread,fwrite,frewrite,fread,freread,version,build,cachesize_kB,cachelinesize_kB,file_stride,id
64,4,889431,2133730,5283570,5283570,4274062,2772930,4274062,4274062,5735102,3022727,3363612,6421025,5860307,3.489,linux-AMD64,1024,32,17,iozone-001.out
64,8,1002351,4274062,12902017,10402178,7940539,3541098,5389653,2892445,7100397,3791156,4564786,10402178,7940539,3.489,linux-AMD64,1024,32,17,iozone-001.out
64,16,1033216,4897948,15972885,12902017,10821524,4274062,7100397,6421025,15972885,4274062,6421025,6421025,10821524,3.489,linux-AMD64,1024,32,17,iozone-001.out
64,32,1083249,5389653,30484297,15972885,12902017,4564786,7940539,5860307,12902017,4018152,7940539,12902017,10821524,3.489,linux-AMD64,1024,32,17,iozone-001.out
64,64,1083249,5389653,20962191,34389688,15972885,4274062,9006179,4274062,15972885,4274062,4988978,10821524,10402178,3.489,linux-AMD64,1024,32,17,iozone-001.out
128,4,1007629,3536566,7582312,3036502,4407601,2621367,4407601,4135958,4407601,2511022,3277486,6406138,5325799,3.489,linux-AMD64,1024,32,17,iozone-001.out
128,8,1085013,4407601,11720614,8548124,6727225,3445772,6406138,5545860,9795896,3657016,3867787,9129573,7082197,3.489,linux-AMD64,1024,32,17,iozone-001.out
128,16,1123617,5122535,16365173,9977956,9129573,3657016,8548124,6406138,15881078,4135958,5122535,14200794,9795896,3.489,linux-AMD64,1024,32,17,iozone-001.out
128,32,1142750,5122535,18012359,12842051,10567140,4104338,9977956,6727225,12842051,3759450,6114306,18012359,11470204,3.489,linux-AMD64,1024,32,17,iozone-001.out
128,64,1152564,4557257,18012359,14200794,11470204,4233807,11720614,5545860,14200794,4407601,8036304,15881078,18637664,3.489,linux-AMD64,1024,32,17,iozone-001.out
128,128,1111981,5545860,31945770,31945770,25804035,5603747,12842051,5122535,20804356,5545860,5545860,21643049,24620673,3.489,linux-AMD64,1024,32,17,iozone-001.out
256,4,1045710,3159869,7120034,7073132,5540300,3123106,5242734,3605511,5347168,3410808,3465855,6719046,6891544,3.489,linux-AMD64,1024,32,17,iozone-001.out
256,8,1168627,4477549,12090911,11569783,9114515,4070199,8815202,5810112,9434868,4197489,3879045,10245071,11207494,3.489,linux-AMD64,1024,32,17,iozone-001.out
256,16,1230218,4840911,15164624,15835569,12812277,3207059,6249745,3823789,15164624,4755158,4907284,13454450,14164395,3.489,linux-AMD64,1024,32,17,iozone-001.out
256,32,1248819,5022044,19591792,19955913,17096249,4572895,8024634,4054829,19955913,5687020,5347168,15835569,18259146,3.489,linux-AMD64,1024,32,17,iozone-001.out
256,64,1260547,5217259,21134280,23441229,18259146,5428265,16072608,7518900,21558614,6719046,6719046,17096249,19591792,3.489,linux-AMD64,1024,32,17,iozone-001.out
256,128,1260547,5569035,23441229,22940409,21134280,5455847,17096249,6891544,23441229,5022044,9518507,21558614,21134280,3.489,linux-AMD64,1024,32,17,iozone-001.out
256,256,1190657,5242734,21558614,21134280,19591792,4819184,15835569,5347168,21558614,5569035,5569035,21134280,22940409,3.489,linux-AMD64,1024,32,17,iozone-001.out
512,4,1032540,3415178,6736026,6821616,5278892,2942541,5019764,4091959,5331314,3325278,3346002,6104175,6652558,3.489,linux-AMD64,1024,32,17,iozone-001.out
512,8,1182661,4195896,11138071,11138071,8955098,3934520,8665997,5807059,9145790,4195896,4123387,10434519,10856530,3.489,linux-AMD64,1024,32,17,iozone-001.out
512,16,1233614,4784885,15583417,15583417,13109944,4701087,12215097,6931711,12146009,4732165,4447925,14628067,15037801,3.489,linux-AMD64,1024,32,17,iozone-001.out
512,32,1264113,5227492,19736867,19736867,17069844,5127637,16049269,7540170,20490142,4927617,5278892,18229030,19037014,3.489,linux-AMD64,1024,32,17,iozone-001.out
512,64,1270094,5453155,21303197,20490142,19037014,5019764,17069844,7758090,22183443,5822804,5822804,19736867,19736867,3.489,linux-AMD64,1024,32,17,iozone-001.out
512,128,1258188,5509113,23139567,22414989,20490142,5509113,18229030,7435738,22414989,6551087,6246213,21303197,21303197,3.489,linux-AMD64,1024,32,17,iozone-001.out
512,256,1283761,5566231,23391616,23391616,17069844,5278892,19557124,6652558,23139567,4784885,9638369,20490142,22183443,3.489,linux-AMD64,1024,32,17,iozone-001.out
512,512,1201856,5067142,21303197,12499490,11877300,2811557,19557124,5566231,20490142,5453155,5566231,22183443,21303197,3.489,linux-AMD64,1024,32,17,iozone-001.out
1024,4,1034232,3369115,6529233,6650556,5200941,2934110,5169641,4014717,5277632,3291652,3304314,6569179,6569179,3.489,linux-AMD64,1024,32,17,iozone-001.out
1024,8,1186518,4249053,11249091,11018226,8914314,4048778,8750850,5821271,9142007,4110780,4146499,10689164,10878686,3.489,linux-AMD64,1024,32,17,iozone-001.out
1024,16,1214706,4995276,15516181,15295157,12983353,4550690,12639479,7160597,12639479,4674510,4609294,14422045,14044758,3.489,linux-AMD64,1024,32,17,iozone-001.out
1024,32,1265904,5144870,19276739,18291580,16280798,5042191,16219316,7927135,16280798,4694950,5144870,17910197,17331995,3.489,linux-AMD64,1024,32,17,iozone-001.out
1024,64,1273788,5507740,20970936,21282686,19629138,5226256,18936769,8391792,22748081,5479632,5507740,20471166,21282686,3.489,linux-AMD64,1024,32,17,iozone-001.out
1024,128,1275301,5564829,22276143,21388672,11132462,2852271,20088179,8000971,23240448,5885083,5853003,20869039,20471166,3.489,linux-AMD64,1024,32,17,iozone-001.out
1024,256,1267398,5310258,23366889,22748081,21713061,5593820,20471166,7537599,22748081,6733974,6830356,21713061,22748081,3.489,linux-AMD64,1024,32,17,iozone-001.out
1024,512,765890,5623115,21823389,22748081,21823389,5219904,22161202,6733974,21823389,4614246,9485232,23886714,22748081,3.489,linux-AMD64,1024,32,17,iozone-001.out
1024,1024,1210257,4570058,18936769,20471166,20569205,5303701,20088179,5444898,21823389,5363307,5601115,21388672,20869039,3.489,linux-AMD64,1024,32,17,iozone-001.out
2048,4,1017426,3180508,6321679,6440169,5095447,2941954,5131978,4178378,5131978,3245396,3314266,6603549,6670210,3.489,linux-AMD64,1024,32,17,iozone-001.out
2048,8,1181753,4365235,11380325,10959265,8866519,3938881,8713618,5820505,8903279,4088876,4136128,10452512,10834854,3.489,linux-AMD64,1024,32,17,iozone-001.out
2048,16,1218982,4923146,13926483,15154989,12710657,4550221,12805399,7112016,12488897,4611288,4531020,14514788,14109484,3.489,linux-AMD64,1024,32,17,iozone-001.out
2048,32,1260296,5212953,19311656,19311656,17186548,5131978,16783585,7940367,17325203,4897882,5068389,15738081,17501701,3.489,linux-AMD64,1024,32,17,iozone-001.out
2048,64,1266614,5447681,20079056,20079056,18804350,5293261,19355169,8128206,19710468,5306340,5345969,20461691,20909969,3.489,linux-AMD64,1024,32,17,iozone-001.out
2048,128,1264191,5503525,22796721,21325256,20079056,5389574,20461691,8431376,24416701,5416763,5535444,21757372,21980064,3.489,linux-AMD64,1024,32,17,iozone-001.out
2048,256,1287111,5507054,23546602,21812621,20909969,5362657,22036452,7419150,23228237,5738844,5916724,22498183,23041317,3.489,linux-AMD64,1024,32,17,iozone-001.out
2048,512,1287111,5503525,23807646,22498183,21812621,5503525,22498183,7556202,12345306,6345027,6321679,23228237,23228237,3.489,linux-AMD64,1024,32,17,iozone-001.out
