kB,reclen,write,rewrite,read,reread,randomread,randomwrite,bkwdread,recordrewrite,strideread,fwrite,frewrite,fread,freread,version,build,cachesize_kB,cachelinesize_kB,file_stride,id
64,4,1033216,2133730,5860307,7940539,5389653,3057153,4274062,4274062,6421025,3203069,3791156,7940539,7100397,3.489,linux-AMD64,1024,32,17,iozone-001.out
64,8,1163036,4897948,12902017,10821524,7940539,3738358,7100397,5860307,12902017,4564786,5283570,12902017,10821524,3.489,linux-AMD64,1024,32,17,iozone-001.out
64,16,1183548,5389653,20962191,22737791,10402178,4564786,9318832,7100397,15972885,4988978,6421025,20962191,15972885,3.489,linux-AMD64,1024,32,17,iozone-001.out
64,32,1210227,5860307,20962191,20962191,15972885,5283570,12310336,6421025,15972885,5735102,9318832,30484297,22737791,3.489,linux-AMD64,1024,32,17,iozone-001.out
64,64,1143223,5735102,34389688,30484297,15972885,4897948,12902017,5389653,15972885,4897948,5735102,20962191,15972885,3.489,linux-AMD64,1024,32,17,iozone-001.out
128,4,1114289,3867787,7917784,6727225,5325799,3124872,4934216,3468030,5325799,3359523,3560017,7082197,6406138,3.489,linux-AMD64,1024,32,17,iozone-001.out
128,8,1206978,4759253,11720614,9795896,7917784,3982553,7476717,6406138,11720614,4135958,4759253,12842051,9795896,3.489,linux-AMD64,1024,32,17,iozone-001.out
128,16,1266785,5603747,18012359,14200794,11720614,4596273,10567140,7582312,16365173,5122535,5784891,15881078,12842051,3.489,linux-AMD64,1024,32,17,iozone-001.out
128,32,1266785,5784891,21643049,18637664,14200794,4934216,11470204,7582312,21643049,3657016,7176872,18637664,14200794,3.489,linux-AMD64,1024,32,17,iozone-001.out
128,64,1291158,6045455,24620673,21643049,14200794,5122535,14200794,6727225,21643049,5122535,9129573,20804356,14200794,3.489,linux-AMD64,1024,32,17,iozone-001.out
128,128,1294270,6114306,25804035,20804356,15881078,5325799,16365173,5325799,21643049,5122535,6406138,24620673,15881078,3.489,linux-AMD64,1024,32,17,iozone-001.out
256,4,1132871,3087188,7735574,6249745,5022044,3009318,5117791,4572895,5022044,3511189,3654598,7120034,7518900,3.489,linux-AMD64,1024,32,17,iozone-001.out
256,8,1280084,4907284,12812277,12812277,10245071,4496299,9114515,6398720,9114515,4572895,4755158,12228612,12228612,3.489,linux-AMD64,1024,32,17,iozone-001.out
256,16,1325925,5569035,16828306,18259146,15164624,5142301,12812277,7735574,17096249,5428265,5569035,16072608,17096249,3.489,linux-AMD64,1024,32,17,iozone-001.out
256,32,1361224,4929815,21558614,21558614,18259146,5810112,17096249,8534922,21558614,6398720,6398720,21134280,22940409,3.489,linux-AMD64,1024,32,17,iozone-001.out
256,64,1376935,6249745,25684103,25084087,22940409,6073004,18259146,8534922,25684103,7735574,6249745,22940409,13454450,3.489,linux-AMD64,1024,32,17,iozone-001.out
256,128,1384034,6249745,25084087,28401588,23441229,6107548,21558614,7571923,25684103,5687020,10245071,23441229,25684103,3.489,linux-AMD64,1024,32,17,iozone-001.out
256,256,1345868,6107548,28401588,28401588,25684103,5117791,19955913,6107548,22940409,6249745,6249745,25084087,28401588,3.489,linux-AMD64,1024,32,17,iozone-001.out
512,4,1160923,3653390,7435738,7540170,5744919,3081897,5566231,4447925,5886650,3415178,3580298,7211022,7540170,3.489,linux-AMD64,1024,32,17,iozone-001.out
512,8,1264113,4650188,12146009,12499490,9814569,4340054,9304292,6395018,9638369,4494470,4340054,11620224,11877300,3.489,linux-AMD64,1024,32,17,iozone-001.out
512,16,1333173,5331314,16543832,16049269,13872122,4375425,12797441,7647578,14240069,4784885,5177083,16543832,15930214,3.489,linux-AMD64,1024,32,17,iozone-001.out
512,32,1365383,5744919,20490142,21303197,17630404,5079126,17630404,8562340,21303197,5684095,5684095,19557124,19736867,3.489,linux-AMD64,1024,32,17,iozone-001.out
512,64,1380303,5509113,23391616,24457224,21303197,5886650,20490142,8844453,24457224,6472112,6414119,22414989,22183443,3.489,linux-AMD64,1024,32,17,iozone-001.out
512,128,1372364,6086873,26908901,25624554,22183443,6035551,22183443,8528336,25624554,7309196,6909408,24457224,25624554,3.489,linux-AMD64,1024,32,17,iozone-001.out
512,256,1388334,5951911,25624554,25624554,24457224,6086873,22414989,6551087,24457224,5509113,10694336,22183443,24457224,3.489,linux-AMD64,1024,32,17,iozone-001.out
512,512,1354190,4827914,24457224,26908901,15471149,5951911,23139567,6104175,25624554,6174377,5744919,26908901,25624554,3.489,linux-AMD64,1024,32,17,iozone-001.out
1024,4,1148139,3567824,7420395,7054742,5720477,3251778,5601115,4470172,5917516,3518141,3579719,7319232,7306780,3.489,linux-AMD64,1024,32,17,iozone-001.out
1024,8,1238168,4741598,12313351,12208350,9946527,4232305,9485232,6317933,10039528,4550690,4456258,12037272,11741116,3.489,linux-AMD64,1024,32,17,iozone-001.out
1024,16,1340582,5200941,16789959,16280798,14230902,5065980,11132462,7699755,14183905,4995276,5144870,15977962,16037624,3.489,linux-AMD64,1024,32,17,iozone-001.out
1024,32,1356245,5813392,21388672,20471166,18608584,5390231,17910197,8680108,18608584,5660167,5390231,20088179,21282686,3.489,linux-AMD64,1024,32,17,iozone-001.out
1024,64,1385560,5690162,23886714,23240448,21388672,5917516,21388672,8542002,24292018,5885083,6059442,23366889,23754601,3.489,linux-AMD64,1024,32,17,iozone-001.out
1024,128,1378445,6128613,25594883,24998980,22748081,5885083,22276143,9064828,27045423,6529233,6402699,24998980,24998980,3.489,linux-AMD64,1024,32,17,iozone-001.out
1024,256,1393200,5853003,25594883,24998980,23240448,5194651,22161202,8246774,25594883,7319232,7472033,20869039,24430194,3.489,linux-AMD64,1024,32,17,iozone-001.out
1024,512,1381993,6172653,25594883,26219889,25594883,5917516,24292018,7420395,25594883,4876180,9485232,24998980,26876184,3.489,linux-AMD64,1024,32,17,iozone-001.out
1024,1024,1311117,5853003,23754601,24292018,24292018,5885083,23240448,6102490,25594883,5983467,6137371,21282686,25748325,3.489,linux-AMD64,1024,32,17,iozone-001.out
2048,4,1168888,3617110,7183386,7318020,5319484,3200654,5596757,4462754,5719737,3517861,3538147,7336772,7311791,3.489,linux-AMD64,1024,32,17,iozone-001.out
2048,8,1279252,4709895,11900619,12416686,9944290,4303993,9610516,6359119,9653719,4462754,4490751,11835033,12050878,3.489,linux-AMD64,1024,32,17,iozone-001.out
2048,16,1342847,5290001,16493549,16399085,12959958,5032754,13836752,7817519,14226322,5071381,5056455,16122077,16001943,3.489,linux-AMD64,1024,32,17,iozone-001.out
2048,32,1368956,5582208,21115571,21115571,18641120,5582208,18600754,8758039,18441025,5475461,5517666,20316506,20708333,3.489,linux-AMD64,1024,32,17,iozone-001.out
2048,64,1384846,5933071,23807646,23807646,21757372,5754221,21325256,9431138,21539147,5785224,5785224,22979678,23291219,3.489,linux-AMD64,1024,32,17,iozone-001.out
2048,128,1383731,6041567,25580074,24416701,23291219,6007763,23807646,9664580,28367810,5868220,6024617,18970464,18970464,3.489,linux-AMD64,1024,32,17,iozone-001.out
2048,256,1383731,6041567,25278959,25278959,24074544,5970183,23807646,8940345,25656476,6359119,6420913,24697509,24912391,3.489,linux-AMD64,1024,32,17,iozone-001.out
2048,512,1392253,5937172,25580074,25888448,24984852,6024617,24697509,8261095,23546602,6523312,6563185,24984852,24984852,3.489,linux-AMD64,1024,32,17,iozone-001.out
2048,1024,1389326,6041567,25888448,25580074,25966707,5974336,25278959,7451329,26284531,4875642,9308497,25888448,25888448,3.489,linux-AMD64,1024,32,17,iozone-001.out
2048,2048,1352786,5738844,22796721,23546602,22207363,5953632,23546602,6007763,24912391,6041567,6041567,24626703,24984852,3.489,linux-AMD64,1024,32,17,iozone-001.out
4096,4,1162938,3596518,7061751,7123239,5565581,3172758,5512011,4546375,5777065,3436107,3527834,7314299,7274040,3.489,linux-AMD64,1024,32,17,iozone-001.out
4096,8,1287286,4708354,12299398,12049235,9801354,4321103,9614850,6408472,9707206,4485833,4418911,11907264,11809047,3.489,linux-AMD64,1024,32,17,iozone-001.out
4096,16,1338224,5353976,16569998,16318176,13691258,5075585,13434307,7816828,13890515,5013377,5069594,16058868,15939671,3.489,linux-AMD64,1024,32,17,iozone-001.out
4096,32,1366648,5744227,20905025,18049765,18202760,5572803,18616995,8824645,18516667,5454263,5411313,20384139,19329161,3.489,linux-AMD64,1024,32,17,iozone-001.out
4096,64,1382373,5988509,23540333,22760651,21560926,5902100,21560926,9482180,21669709,5713661,5711761,23128348,22610871,3.489,linux-AMD64,1024,32,17,iozone-001.out
