kB,reclen,write,rewrite,read,reread,randomread,randomwrite,bkwdread,recordrewrite,strideread,fwrite,frewrite,fread,freread,version,build,cachesize_kB,cachelinesize_kB,file_stride,id
1024,256,1390944,5720477,24998980,24998980,23886714,6172653,22748081,8391792,24998980,7356843,7420395,23886714,24430194,3.489,linux-AMD64,1024,32,17,iozone-001.out
1024,512,1370527,6128613,25594883,26219889,24998980,5885083,23240448,7485055,24998980,4805258,9220512,24998980,24854315,3.489,linux-AMD64,1024,32,17,iozone-001.out
1024,1024,1336827,5917516,26219889,26219889,26219889,5991815,24998980,6025439,25594883,6016997,6059442,24998980,26219889,3.489,linux-AMD64,1024,32,17,iozone-001.out
2048,4,1135212,3766184,7451329,7589584,5884299,3281349,5685664,4472047,5937172,3542524,3519302,7311791,7368238,3.489,linux-AMD64,1024,32,17,iozone-001.out
2048,8,1257160,4730646,12416686,12416686,9990553,4330028,9610516,6359119,9841749,4469720,4481379,11966935,12118884,3.489,linux-AMD64,1024,32,17,iozone-001.out
2048,16,1331606,5293261,16525279,16525279,13038646,5020987,13748169,7817519,14226322,5056455,5044577,15883587,16122077,3.489,linux-AMD64,1024,32,17,iozone-001.out
2048,32,1359854,5689430,20909969,20461691,18129656,5535444,18284015,8758039,18600754,5492967,5521212,20268568,20316506,3.489,linux-AMD64,1024,32,17,iozone-001.out
2048,64,1363523,5852228,23291219,23041317,21593292,5816563,20859193,9268323,21812621,5704543,5531879,22498183,22264924,3.489,linux-AMD64,1024,32,17,iozone-001.out
2048,128,1376414,6024617,24984852,24142206,23546602,5986827,23291219,9389900,27637635,6024617,6041567,24074544,24626703,3.489,linux-AMD64,1024,32,17,iozone-001.out
2048,256,1383731,6058611,24984852,24074544,24074544,6075753,23807646,8903279,24347494,6397004,6440169,24626703,24984852,3.489,linux-AMD64,1024,32,17,iozone-001.out
2048,512,1386411,6024617,25278959,25278959,24912391,6080053,24074544,8357547,25278959,6479029,6523312,24697509,24347494,3.489,linux-AMD64,1024,32,17,iozone-001.out
2048,1024,1388428,6024617,25888448,25966707,24347494,6041567,24984852,7451329,25580074,4707314,9525260,25580074,25888448,3.489,linux-AMD64,1024,32,17,iozone-001.out
2048,2048,1331606,6041567,25888448,26610232,25278959,5970183,24984852,6097316,25278959,5986827,6167360,25580074,26284531,3.489,linux-AMD64,1024,32,17,iozone-001.out
4096,4,1137453,3754501,7615846,7529067,5843879,3284991,5611025,4437172,5885924,3506950,3515562,7380284,7301864,3.489,linux-AMD64,1024,32,17,iozone-001.out
4096,8,1274016,4761860,12334720,12117223,9801354,4352854,9636422,6389405,9801354,4485833,4446359,11907264,11736440,3.489,linux-AMD64,1024,32,17,iozone-001.out
4096,16,1329422,5367357,16443123,15999048,13879294,5083093,13746032,7802627,13969580,5000244,5068098,15999048,15706509,3.489,linux-AMD64,1024,32,17,iozone-001.out
4096,32,1359833,5728903,20778605,18280235,18378010,5549401,17955442,8811067,18616995,5469892,5452532,20384139,19888580,3.489,linux-AMD64,1024,32,17,iozone-001.out
4096,64,1367192,5953231,23159527,22521946,21320113,5910222,21426474,9461292,21453230,5746149,5719367,22404462,22259318,3.489,linux-AMD64,1024,32,17,iozone-001.out
4096,128,1385718,6049663,24690613,23933871,23253568,6032669,23159527,9571993,23412013,5875858,5902100,24237769,24375326,3.489,linux-AMD64,1024,32,17,iozone-001.out
4096,256,1380928,6105563,24833373,24833373,23933871,6060333,23670066,9183139,25271734,6049663,6068897,24514454,24067991,3.489,linux-AMD64,1024,32,17,iozone-001.out
4096,512,1383263,6049663,25308964,25123904,24101756,6131713,24375326,8806550,24977794,5572803,5679660,24797528,24797528,3.489,linux-AMD64,1024,32,17,iozone-001.out
4096,1024,1388967,6140479,25764430,25725850,23253568,6151473,25421314,8162211,25421314,6562698,6565206,25458986,24977794,3.489,linux-AMD64,1024,32,17,iozone-001.out
4096,2048,1389866,6160296,26077293,25458986,25123904,6186918,25421314,7512605,24977794,4773769,9247398,25271734,26077293,3.489,linux-AMD64,1024,32,17,iozone-001.out
4096,4096,1333757,6068897,24514454,25725850,24833373,6140479,25271734,6186918,25421314,6140479,6198078,24101756,25123904,3.489,linux-AMD64,1024,32,17,iozone-001.out
8192,4,1147512,3419285,7591960,7578564,5911041,3267748,5721087,4483378,5915112,3515851,3528126,7354701,7328036,3.489,linux-AMD64,1024,32,17,iozone-001.out
8192,8,1237617,4623336,11977018,12010511,9845745,4309076,9627797,6434642,9905351,4446823,4503947,11922989,11804201,3.489,linux-AMD64,1024,32,17,iozone-001.out
8192,16,1312401,4807705,16488935,16449466,14054179,5066458,13889424,7846828,13816816,4998648,5056765,16132804,15719484,3.489,linux-AMD64,1024,32,17,iozone-001.out
8192,32,1361007,5732541,20738544,20676146,18696066,5553712,18534703,8781355,18494796,5461897,5425673,20285525,19059035,3.489,linux-AMD64,1024,32,17,iozone-001.out
8192,64,1374730,5389927,23140898,23203407,21612539,5780764,21056268,9513174,21450628,5645881,5588034,22757722,22141778,3.489,linux-AMD64,1024,32,17,iozone-001.out
8192,128,1380973,5494212,24669441,23880735,23140898,5974769,23537199,9682056,23537199,5677601,5817959,24320215,24098471,3.489,linux-AMD64,1024,32,17,iozone-001.out
8192,256,1381917,5396699,24758320,23814529,23472881,6117309,23964013,9360271,22742658,5847664,5901904,24528554,23947311,3.489,linux-AMD64,1024,32,17,iozone-001.out
8192,512,1388732,6127127,25047088,24458712,24320215,6076201,24458712,9112041,24669441,5261984,5319828,24829886,25138714,3.489,linux-AMD64,1024,32,17,iozone-001.out
8192,1024,1385204,6108608,25530980,24758320,24441313,6154564,25120335,9052027,24320215,5669170,5653313,25212499,24740493,3.489,linux-AMD64,1024,32,17,iozone-001.out
8192,2048,1387050,5591672,25838164,24974266,25683653,6141364,25512023,8325988,25838164,6511465,6527546,25436477,24901867,3.489,linux-AMD64,1024,32,17,iozone-001.out
8192,4096,1381917,6112956,25530980,25916119,24234447,6127127,24901867,7502444,25512023,4721816,9299470,23408914,24740493,3.489,linux-AMD64,1024,32,17,iozone-001.out
8192,8192,1315567,5117011,22637771,24303013,23666898,6010303,23408914,6059057,23814529,6036702,6099933,24031054,23880735,3.489,linux-AMD64,1024,32,17,iozone-001.out
16384,4,1127828,3389235,7062054,7166635,5724330,3195689,5523715,4471651,5724330,3461623,3472643,6711669,6820923,3.489,linux-AMD64,1024,32,17,iozone-001.out
16384,8,1259825,4382953,11207053,11267694,9470964,4215193,9122693,6395004,9464442,4342241,4364580,10981401,10901268,3.489,linux-AMD64,1024,32,17,iozone-001.out
16384,16,1310294,5052231,14656072,14962417,13233592,4910005,12818871,7805655,12932252,4889393,4871715,12752264,13562682,3.489,linux-AMD64,1024,32,17,iozone-001.out
16384,32,1339226,5342079,18262828,18553747,16802626,5405531,16786208,8885596,17319264,5300463,5305783,18123153,17943332,3.489,linux-AMD64,1024,32,17,iozone-001.out
16384,64,1355285,5557667,18746077,19977720,20006801,5698696,18984299,9575217,20100433,5477922,5450117,19271795,20224663,3.489,linux-AMD64,1024,32,17,iozone-001.out
16384,128,1360571,5529493,20429086,21529968,21191364,5811959,20812695,9834199,21309648,5548244,5554073,21087319,21309648,3.489,linux-AMD64,1024,32,17,iozone-001.out
16384,256,1360894,5599328,20787512,21584067,21991599,5906370,21113234,9459231,21672560,5616719,5605266,21003532,21362644,3.489,linux-AMD64,1024,32,17,iozone-001.out
16384,512,1363974,5554073,16893500,18984299,21061467,5736755,20787512,9406146,22349209,5013529,5035203,21087319,21727378,3.489,linux-AMD64,1024,32,17,iozone-001.out
16384,1024,1360113,5781155,20687386,21761781,22140392,5832677,21250341,9299226,25322180,4955681,5099092,19954516,21556984,3.489,linux-AMD64,1024,32,17,iozone-001.out
16384,2048,1360005,5584313,20787512,21415904,22111896,5903833,20687386,8966756,25017960,5297194,5400434,19207157,21276659,3.489,linux-AMD64,1024,32,17,iozone-001.out
16384,4096,1348238,5470509,19931365,20819000,20477787,5754529,19413347,8346016,25444065,6133583,6095499,17031669,19691490,3.489,linux-AMD64,1024,32,17,iozone-001.out
16384,8192,1333871,5438041,17771639,19137620,18166271,5416182,16856206,6963302,22786440,4694656,8372454,15576270,16448701,3.489,linux-AMD64,1024,32,17,iozone-001.out
16384,16384,1286139,4969299,13496091,13527973,13651595,4858970,13482851,4929022,13549311,5025629,5160357,13562682,13838535,3.489,linux-AMD64,1024,32,17,iozone-001.out
32768,64,1287896,4705233,12900456,13256320,12168332,4481392,12235496,9391880,13722206,4681832,4762131,13631022,14799378,3.489,linux-AMD64,1024,32,17,iozone-001.out
32768,128,1317679,4983679,14459943,14820124,14435643,4910497,14241189,9500297,14272245,4718803,4737345,12535697,15086924,3.489,linux-AMD64,1024,32,17,iozone-001.out
32768,256,1331491,5128739,15318984,15634397,13843839,4950648,14179480,9250908,13613470,4596342,4554909,12281417,15493401,3.489,linux-AMD64,1024,32,17,iozone-001.out
32768,512,1328955,5151422,15058823,14989842,14694943,4835176,14461465,9189057,14668282,4254969,4455821,14662022,14773924,3.489,linux-AMD64,1024,32,17,iozone-001.out
32768,1024,1322675,5126443,14346737,14662022,14403872,4697995,14021799,8972496,14467554,4356805,4488124,14485852,14352729,3.489,linux-AMD64,1024,32,17,iozone-001.out
32768,2048,1312407,4947619,13937903,14334766,14390299,4937133,14216147,8327208,24583031,4394839,4619050,14309394,14570315,3.489,linux-AMD64,1024,32,17,iozone-001.out
32768,4096,1301446,5013494,13937903,14057654,13967649,4812489,13727688,7538003,20262846,4661190,4839432,13908283,14105264,3.489,linux-AMD64,1024,32,17,iozone-001.out
32768,8192,1292110,4863923,12890776,13144750,13171203,4688540,13044940,6553510,16617359,5316004,5517463,13229523,13563760,3.489,linux-AMD64,1024,32,17,iozone-001.out
32768,16384,1274366,4692542,11513880,11464896,11563284,4423838,11550651,5314360,13117150,4297545,7805569,12218092,12474258,3.489,linux-AMD64,1024,32,17,iozone-001.out
65536,64,1276887,4485692,12341967,12492289,12213101,4309592,11987799,9403706,12217987,4288146,4292096,12109262,12243020,3.489,linux-AMD64,1024,32,17,iozone-001.out
65536,128,1287268,4528480,12737737,13186245,13083937,4568901,12725354,9690467,12903366,4170326,4296860,11364317,13826296,3.489,linux-AMD64,1024,32,17,iozone-001.out
65536,256,1294305,4678788,13039250,13429113,13204615,4545103,12516749,9334410,10757670,4185439,4494935,12962389,13306893,3.489,linux-AMD64,1024,32,17,iozone-001.out
65536,512,1304328,4795848,13325600,13465294,13239595,4514720,12686005,9274883,13360576,3979826,4111380,13128305,13233858,3.489,linux-AMD64,1024,32,17,iozone-001.out
65536,1024,1308494,4734229,13212866,13471233,13279892,4546081,13031832,9097156,12805385,3965358,4158591,13098901,13271556,3.489,linux-AMD64,1024,32,17,iozone-001.out
65536,2048,1301845,4780085,13088921,13138345,12478112,4494935,12933723,8508885,12554480,4015934,4194572,13117654,13249806,3.489,linux-AMD64,1024,32,17,iozone-001.out
65536,4096,1286154,4665130,12911245,12987499,13001013,4504806,12890658,8103758,25721241,3945608,4268038,13115151,13290807,3.489,linux-AMD64,1024,32,17,iozone-001.out
65536,8192,1274005,4666476,12400429,12659130,12528730,4413808,10913567,8385842,23564722,4352239,4552631,12435772,12738328,3.489,linux-AMD64,1024,32,17,iozone-001.out
65536,16384,1256005,4228643,10656327,11090581,11060681,4251995,11036700,5566605,13639007,4912762,5042724,11473417,11761593,3.489,linux-AMD64,1024,32,17,iozone-001.out
131072,64,1275056,4519278,12139693,12476074,11857435,4270949,11738439,9346917,12224454,4022099,4223893,12032615,12486559,3.489,linux-AMD64,1024,32,17,iozone-001.out
131072,128,1278338,4234271,10702341,11930773,11887433,4114513,12127375,9216080,12980080,4072965,4171079,12012895,13133576,3.489,linux-AMD64,1024,32,17,iozone-001.out
131072,256,1300782,4617670,12726475,12889391,12742699,4392220,8640181,4405631,9969674,3504312,4045421,8066991,8295595,3.489,linux-AMD64,1024,32,17,iozone-001.out
131072,512,1295012,4652528,12767854,12856535,12895740,4396927,11543961,9338978,11102184,3685535,2427576,12483157,12944322,3.489,linux-AMD64,1024,32,17,iozone-001.out
131072,1024,1295137,4637262,9013896,9056961,8927969,3552086,12515269,9366345,12324482,3810556,2908640,8716624,12446135,3.489,linux-AMD64,1024,32,17,iozone-001.out
131072,2048,1275355,4651898,12688291,12878219,12944017,4396611,10320601,5705713,12366622,3629402,3894701,8724094,8821526,3.489,linux-AMD64,1024,32,17,iozone-001.out
131072,4096,1288100,2535051,10658973,11458305,12150963,4182408,8455595,4660653,8796683,3668198,3799862,12191652,12522396,3.489,linux-AMD64,1024,32,17,iozone-001.out
131072,8192,1270360,4087561,10707553,7886914,9381049,3750505,7861875,4669640,23206429,3910158,2993533,7980567,8267899,3.489,linux-AMD64,1024,32,17,iozone-001.out
131072,16384,1297665,4143259,7480810,7726519,8411736,3452441,8912915,4833408,11472413,3508449,3192824,7977093,8038798,3.489,linux-AMD64,1024,32,17,iozone-001.out
262144,64,1338124,4622616,12536074,12672614,12270403,4326166,12031667,9401247,11682539,4177129,4044495,12486106,12774501,3.489,linux-AMD64,1024,32,17,iozone-001.out
262144,128,1286153,4352229,11183126,11299315,12237081,4265081,10960939,9416786,11437304,4179733,4222122,11157932,11464375,3.489,linux-AMD64,1024,32,17,iozone-001.out
262144,256,1293592,4386837,11405508,11522283,12946579,4310224,11255246,9315068,11876750,4097719,4145083,11375771,11491574,3.489,linux-AMD64,1024,32,17,iozone-001.out
262144,512,1296953,4320047,11490013,11876750,12644487,4296732,11519265,9430921,11778655,3745137,3767685,12874118,13415090,3.489,linux-AMD64,1024,32,17,iozone-001.out
262144,1024,1339068,4390428,11559958,11968931,12571047,4355350,11486052,9529332,11826418,3815446,3829319,11519747,12026666,3.489,linux-AMD64,1024,32,17,iozone-001.out
262144,2048,1341335,4382727,11573221,12166803,13439029,4370150,11534491,9429304,12162765,3861243,3823513,11534007,12046563,3.489,linux-AMD64,1024,32,17,iozone-001.out
262144,4096,1289019,4338850,12624307,13006306,12858460,4276960,11604368,9504209,11746316,3767194,3797314,11556313,12025483,3.489,linux-AMD64,1024,32,17,iozone-001.out
262144,8192,1279262,4407481,11331455,11688749,12299089,4280457,11599838,8999127,12038254,3889889,3851208,11602898,12183655,3.489,linux-AMD64,1024,32,17,iozone-001.out
262144,16384,1254102,4312219,11236383,11816250,13066743,4180258,11250870,6601143,13898023,3989942,4071257,11296877,11847827,3.489,linux-AMD64,1024,32,17,iozone-001.out
524288,64,1292279,4456942,12197022,12600061,12338480,4221010,12520928,9310249,12848003,4225195,4283357,12121386,12525992,3.489,linux-AMD64,1024,32,17,iozone-001.out
524288,128,1293573,4520536,12618787,12895999,13534882,4404372,12034947,9172120,13400686,4344523,4348088,12581606,12928145,3.489,linux-AMD64,1024,32,17,iozone-001.out
524288,256,1302951,4562233,13107227,13258645,13409511,4525336,12756109,9546037,13633818,4278431,4281722,13113793,13196266,3.489,linux-AMD64,1024,32,17,iozone-001.out
524288,512,1304023,4535800,12833831,13080407,13845154,4488958,12833532,9557155,13146249,3879190,3867401,12798427,13146642,3.489,linux-AMD64,1024,32,17,iozone-001.out
524288,1024,1300550,4523149,12922371,13336239,14249595,4509579,13094427,9680725,13131491,3876065,3867544,12889045,13414419,3.489,linux-AMD64,1024,32,17,iozone-001.out
524288,2048,1304241,4544799,12975823,13257605,13606570,4541805,13095441,9655222,13114028,3903449,3898432,12936054,13346761,3.489,linux-AMD64,1024,32,17,iozone-001.out
524288,4096,1299241,4551704,13390078,13576580,14193674,4550866,13494516,9493492,13547556,3924081,3925342,13347410,13768006,3.489,linux-AMD64,1024,32,17,iozone-001.out
524288,8192,1301266,4532771,12732253,12904929,13164744,4499438,12902733,9083614,12858446,3922520,3928694,12698579,13110822,3.489,linux-AMD64,1024,32,17,iozone-001.out
524288,16384,1279947,4444322,13377371,13031572,13523395,4447225,13231918,7278646,12728200,3959344,3966922,13099653,13853964,3.489,linux-AMD64,1024,32,17,iozone-001.out
